No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
2_5_22,,"39.925142, 32.859852",1056/6,"Halk Sok., No:21, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.925142,32.859852,SAĞLIK,2
2_5_23,,"39.925259, 32.859744",1056/7,"Halk Sok., No:19, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.925259,32.859744,SAĞLIK,2
2_5_24,,"39.925384, 32.859627",1056/8,"Halk Sok., No:17, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.925384,32.859627,SAĞLIK,2
2_5_25,,"39.924962, 32.860580",1056/13,"Marmara Sok., No:44, Sağlık Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.924962,32.86058,SAĞLIK,2
2_5_26,,"39.925079, 32.860463",1056/12,"Marmara Sok., No:42, Sağlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.925079,32.860463,SAĞLIK,2
2_5_27,,"39.925183, 32.860220",1056/11,"Marmara Sok., No:40, Sağlık Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.925183,32.86022,SAĞLIK,2
2_5_28,,"39.925349, 32.860184",1056/10,"Marmara Sok., No:38A, Sağlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.925349,32.860184,SAĞLIK,2
2_5_29,KYK Yurdu,"39.925605, 32.859843",1056/9,"Tuna Cad., No:40, Çankaya, Ankara",Yurt,6.0,Değil,,,,,,39.925605,32.859843,CUMHURİYET,2
2_6_1,,"39.922084, 32.859205",1059/5,"Adakale Sok., No:27C, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.922084,32.859205,FİDANLIK,2
2_6_2,,"39.922320, 32.859133",1059/6,"Adakale Sok., No:23, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92232,32.859133,FİDANLIK,2
2_6_3,,"39.922589, 32.858981",1059/7,"Adakale Sok., No:21, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.922589,32.858981,FİDANLIK,2
2_6_4,,"39.922755, 32.858774",1059/8,"Sakarya Cad., No:32C, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.922755,32.858774,CUMHURİYET,2
2_6_5,,"39.922942, 32.859169",1059/19,"Sakarya Cad., No:36A, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.922942,32.859169,CUMHURİYET,2
2_6_6,,"39.922942, 32.859169",1059/18,"Sakarya Cad., No:36A, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.922942,32.859169,CUMHURİYET,2
2_6_7,,"39.922970, 32.859223",1059/10,"Sakarya Cad., No:36B, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.92297,32.859223,CUMHURİYET,2
2_6_8,,"39.923053, 32.859421",1059/11,"Sakarya Cad., No:30, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.923053,32.859421,CUMHURİYET,2
2_6_9,,"39.922790, 32.859583",1059/12,"Ataç 1. Sok., No:36, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92279,32.859583,SAĞLIK,2
2_6_10,,"39.922707, 32.859798",1059/13,"Ataç 1. Sok., No:38B, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922707,32.859798,SAĞLIK,2
2_6_11,,"39.922645, 32.859843",1059/14,"Ataç 1. Sok., No:38C, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922645,32.859843,SAĞLIK,2
2_6_12,,"39.922472, 32.859870",1059/1,"Ataç 1. Sok., No:42, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922472,32.85987,SAĞLIK,2
2_6_13,,"39.922403, 32.859717",1059/2,"Ziya Gökalp Cad., No:31D, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.922403,32.859717,FİDANLIK,2
2_6_14,,"39.922223, 32.859717",1059/3,"Ziya Gökalp Cad., No:29B, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.922223,32.859717,FİDANLIK,2
2_6_15,Sarvis Otel,"39.922112, 32.859565",1059/17,"Ziya Gökalp Cad., No:27B, Çankaya, Ankara",Otel,6.0,Değil,,,,,,39.922112,32.859565,FİDANLIK,2
2_6_16,,"39.923253, 32.859780",1058/6,"Sakarya Cad., No:32, Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.923253,32.85978,CUMHURİYET,2
2_6_17,,"39.923004, 32.859807",1058/5,"Ataç 1. Sok., No:37, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.923004,32.859807,SAĞLIK,2
2_6_18,,"39.922921, 32.859924",1058/4,"Ataç 1. Sok., No:39A, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.922921,32.859924,SAĞLIK,2
2_6_19,,"39.922790, 32.860149",1058/10,"Ataç 1. Sok., No:41A, Çankaya, Ankara",Konut + Ticaret,10.0,Değil,,,,,,39.92279,32.860149,SAĞLIK,2
2_6_20,,"39.922797, 32.860292",1058/9,"Ziya Gökalp Cad., No:37B, Çankaya, Ankara",Konut + Ticaret,10.0,Değil,,,,,,39.922797,32.860292,FİDANLIK,2
2_6_21,,"39.923018, 32.860454",1058/2,"Ziya Gökalp Cad., No:39B, Çankaya, Ankara",Konut,10.0,Değil,,,,,,39.923018,32.860454,FİDANLIK,2
2_6_22,,"39.923087, 32.860661",1058/1,"Ziya Gökalp Cad., No:41, Çankaya, Ankara",Konut + Ticaret,10.0,Değil,,,,,,39.923087,32.860661,FİDANLIK,2
2_6_23,,"39.923143, 32.860535",1058/8,"Sağlık 1. Sok., No:46, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.923143,32.860535,FİDANLIK,2
2_6_24,,"39.923406, 32.860364",1058/11,"Sakarya Cad., No:36, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.923406,32.860364,CUMHURİYET,2
2_6_25,,"39.923288, 32.860122",1058/12,"Sağlık 1. Sok., No:42A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.923288,32.860122,FİDANLIK,2
2_7_1,,"39.923212, 32.860939",1057/3,"Ziya Gökalp Cad., No:43A, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.923212,32.860939,FİDANLIK,2
2_7_2,,"39.923440, 32.860867",1057/4,"Sağlık 1. Sok., No:59, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.92344,32.860867,FİDANLIK,2
2_7_3,,"39.923488, 32.861119",1057/2,"Ziya Gökalp Cad., No:45, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.923488,32.861119,FİDANLIK,2
2_7_4,TED  Üniversitesi H Blok,"39.923710, 32.861280",1057/11,"Ziya Gökalp Cad., No:47H, Çankaya, Ankara",Eğitim,4.0,,1956,,Üniversiteye dönüştürüldü.,,Dönem Yapısı,39.92371,32.86128,FİDANLIK,2
2_7_5,TED  Üniversitesi G Blok,"39.924049, 32.861424",1057/11,"Ziya Gökalp Cad., No:47, Çankaya, Ankara",Eğitim,4.0,,1936,Mimar Selim,Üniversiteye dönüştürüldü.,,Dönem Yapısı,39.924049,32.861424,FİDANLIK,2
2_7_6,TED  Üniversitesi E Blok,"39.923924, 32.860948",1057/11,"Ziya Gökalp Cad., No:47E, Çankaya, Ankara",Eğitim,4.0,Değil,,,,,,39.923924,32.860948,FİDANLIK,2
2_7_7,TED  Üniversitesi D Blok,"39.924754, 32.861047",1057/11,"Ziya Gökalp Cad., No:47D/A, Çankaya, Ankara",Eğitim,5.0,Değil,,,,,,39.924754,32.861047,FİDANLIK,2
2_7_8,TED  Üniversitesi F Blok,"39.924644, 32.860840",1057/11,"Marmara Sok., No:9, Sağlık Mah., Çankaya, Ankara",Eğitim,5.0,,1936,Mimar Selim,Üniversiteye dönüştürüldü.,,Dönem Yapısı,39.924644,32.86084,SAĞLIK,2
2_7_9,Sıhhiye Çok Katlı Otoparkı,"39.925895, 32.860238",1057/9,"Aksu Cad., No:19/1, Sağlık Mah., Çankaya, Ankara",Ticari,6.0,Değil,,,,,,39.925895,32.860238,SAĞLIK,2
2_8_1,,"39.920701, 32.859852",1075/15,"Doktor Mediha Eldem Sok., No:39, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920701,32.859852,KÜLTÜR,2
2_8_2,,"39.920874, 32.859753",1075/16,"Doktor Mediha Eldem Sok., No:37, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920874,32.859753,KÜLTÜR,2
2_8_3,Hotel Starton,"39.920992, 32.859933",1075/4,"Doktor Mediha Eldem Sok., No:37A, Kültür Mah., Çankaya, Ankara",Otel,8.0,Değil,,,,,,39.920992,32.859933,KÜLTÜR,2
2_8_4,Türkiye Yol İş Sendikası,"39.921005, 32.859672",1075/5,"Doktor Mediha Eldem Sok., No:35, Kültür Mah., Çankaya, Ankara",Ticari,7.0,Değil,,,,,,39.921005,32.859672,KÜLTÜR,2
2_8_5,,"39.921192, 32.859735",1075/6,"Doktor Mediha Eldem Sok., No:33, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921192,32.859735,KÜLTÜR,2
2_8_6,Kızılay Sınav Anadolu Lisesi,"39.921331, 32.859547",1075/7,"İçel Sok., No:2A, Kültür Mah., Çankaya, Ankara",Eğitim,8.0,Değil,,,,,,39.921331,32.859547,KÜLTÜR,2
2_8_7,,"39.921414, 32.859816",1075/8,"İçel Sok., No:4, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921414,32.859816,KÜLTÜR,2
2_8_8,,"39.921462, 32.860005",1075/9,"İçel Sok., No:6A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921462,32.860005,KÜLTÜR,2
2_8_9,,"39.921517, 32.860247",1075/10,"İçel Sok., No:8, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921517,32.860247,KÜLTÜR,2
2_8_10,,"39.921324, 32.860265",1075/11,"Ataç 2 Sok., No:52, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.921324,32.860265,KÜLTÜR,2
2_8_11,,"39.921130, 32.860265",1075/12,"Ataç 2 Sok., No:54, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92113,32.860265,KÜLTÜR,2
2_8_12,,"39.921026, 32.860499",1075/13,"Ataç 2 Sok., No:56, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921026,32.860499,KÜLTÜR,2
2_8_13,,"39.920839, 32.860526",1075/14,"Ataç 2 Sok., No:58, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.920839,32.860526,KÜLTÜR,2
2_8_14,,"39.920694, 32.860562",1075/1,"Ataç 2 Sok., No:60, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.920694,32.860562,KÜLTÜR,2
2_8_15,,"39.920577, 32.860292",1075/2,"Yüksel Cad., No:33, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.920577,32.860292,FİDANLIK,2
2_8_16,,"39.921621, 32.859466",1071/3,"Ziya Gökalp Cad., No:26A, Çankaya, Ankara",Konut + Ticaret,10.0,Değil,,,,,,39.921621,32.859466,FİDANLIK,2
2_8_17,,"39.921718, 32.859681",1071/11,"Ziya Gökalp Cad., No:28D, Çankaya, Ankara",Konut + Ticaret,10.0,Değil,,,,,,39.921718,32.859681,FİDANLIK,2
2_8_18,,"39.921718, 32.859681",1071/10,"Ziya Gökalp Cad., No:28D, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921718,32.859681,FİDANLIK,2
2_8_19,,"39.921676, 32.860068",1071/13,"Ataç 2 Sok., No:48/1, Kültür Mah., Çankaya, Ankara",Konut,3.0,Değil,,,,,,39.921676,32.860068,KÜLTÜR,2
2_8_20,,"39.921849, 32.859762",1071/14,"Ziya Gökalp Cad., No:30D, Çankaya, Ankara",Ticari,10.0,Değil,,,,,,39.921849,32.859762,FİDANLIK,2
2_8_21,,"39.921732, 32.860238",1071/7,"Ataç 2 Sok., No:48, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921732,32.860238,KÜLTÜR,2
2_8_22,,"39.921898, 32.860095",1071/6,"Ataç 2 Sok., No:46, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,3.0,Değil,,,,,,39.921898,32.860095,KÜLTÜR,2
2_8_23,,"39.922029, 32.859978",1071/5,"Ziya Gökalp Cad., No:32A, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.922029,32.859978,FİDANLIK,2
2_8_24,,"39.920867, 32.860948",1074/3,"Ataç 2 Sok., No:57, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920867,32.860948,KÜLTÜR,2
2_8_25,,"39.920964, 32.860777",1074/4,"Ataç 2 Sok., No:55, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.920964,32.860777,KÜLTÜR,2
2_8_26,,"39.921137, 32.860705",1074/5,"Ataç 2 Sok., No:53A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921137,32.860705,KÜLTÜR,2
2_8_27,,"39.921310, 32.860634",1074/16,"Ataç 2 Sok., No:51A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92131,32.860634,KÜLTÜR,2
2_8_28,,"39.921531, 32.860625",1074/13,"İçel Sok., No:10, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921531,32.860625,KÜLTÜR,2
2_8_29,,"39.921538, 32.860840",1074/20,"İçel Sok., No:12, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921538,32.86084,KÜLTÜR,2
2_8_30,,"39.921573, 32.861110",1074/19,"İçel Sok., No:14, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921573,32.86111,KÜLTÜR,2
2_8_31,,"39.921497, 32.861424",1074/19,"İçel Sok., No:16, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921497,32.861424,KÜLTÜR,2
2_8_32,,"39.921261, 32.861505",1074/9,"İçel Sok., No:18, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921261,32.861505,KÜLTÜR,2
2_8_33,,"39.921109, 32.861514",1074/10,"İçel Sok., No:20, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921109,32.861514,KÜLTÜR,2
2_8_34,,"39.920874, 32.861487",1074/1,"Yüksel Cad., No:41A, Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.920874,32.861487,FİDANLIK,2
2_8_35,,"39.920826, 32.861325",1074/2,"Yüksel Cad., No:39, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.920826,32.861325,FİDANLIK,2
2_8_36,,"39.921663, 32.860463",1072/4,"Ataç 2 Sok., No:47B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921663,32.860463,KÜLTÜR,2
2_8_37,,"39.921856, 32.860571",1072/5,"Ataç 2 Sok., No:45, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921856,32.860571,KÜLTÜR,2
2_8_38,Sosyal İş Sendikası Genel Merkezi,"39.922154, 32.860310",1072/19,"Ziya Gökalp Cad., No:34A, Çankaya, Ankara",Ticari,9.0,Değil,,,,,,39.922154,32.86031,FİDANLIK,2
2_8_39,,"39.922244, 32.860454",1072/18,"Ziya Gökalp Cad., No:36E, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.922244,32.860454,FİDANLIK,2
2_8_40,,"39.922396, 32.860463",1072/8,"Ziya Gökalp Cad., No:38A, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.922396,32.860463,FİDANLIK,2
2_8_41,,"39.922499, 32.860652",1072/9,"Ziya Gökalp Cad., No:40A, Çankaya, Ankara",Ticari,10.0,Değil,,,,,,39.922499,32.860652,FİDANLIK,2
2_8_42,,"39.922672, 32.860804",1072/10,"Ziya Gökalp Cad., No:42A, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.922672,32.860804,FİDANLIK,2
2_8_43,,"39.922465, 32.861083",1072/11,"Sağlık 2 Sok., No:52B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.922465,32.861083,KÜLTÜR,2
2_8_44,,"39.922230, 32.860966",1072/20,"Sağlık 2 Sok., No:54-56-D, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92223,32.860966,KÜLTÜR,2
2_8_45,,"39.922029, 32.861011",1072/14,"Sağlık 2 Sok., No:58, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922029,32.861011,KÜLTÜR,2
2_8_46,,"39.921822, 32.861289",1072/1,"Sağlık 2 Sok., No:60, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921822,32.861289,KÜLTÜR,2
2_8_47,,"39.921683, 32.861038",1072/2,"İçel Sok., No:15B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921683,32.861038,KÜLTÜR,2
2_8_48,,"39.921676, 32.860777",1072/3,"İçel Sok., No:13, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921676,32.860777,KÜLTÜR,2
2_9_1,,"39.920916, 32.861945",2504/25,"İçel Sok., No:29E, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920916,32.861945,KÜLTÜR,2
2_9_2,Atatürk Üniversitesi Yurdu?,"39.921275, 32.861828",2504-04-01 00:00:00,"İçel Sok., No:27B, Kültür Mah., Çankaya, Ankara",Yurt,6.0,Değil,,,,,,39.921275,32.861828,KÜLTÜR,2
2_9_3,,"39.921331, 32.861676",2504/13,"İçel Sok., No:25, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921331,32.861676,KÜLTÜR,2
2_9_4,,"39.921331, 32.861676",2504/23,"İçel Sok., No:25, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.921331,32.861676,KÜLTÜR,2
2_9_5,,"39.921725, 32.861658",2504-07-01 00:00:00,"Cemre Sok., No:9, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921725,32.861658,KÜLTÜR,2
2_9_6,,"39.921768, 32.861848",2504-08-01 00:00:00,"Cemre Sok., No:9, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921768,32.861848,KÜLTÜR,2
2_9_7,,"39.921683, 32.862026",2504-09-01 00:00:00,"Cemre Sok., No:7, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921683,32.862026,KÜLTÜR,2
2_9_8,,"39.921849, 32.862322",2504/24,"Cemre Sok., No:5A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921849,32.862322,KÜLTÜR,2
2_9_9,,"39.921669, 32.862466",2504/15,"Çaldıran Sok., No:8A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.921669,32.862466,KÜLTÜR,2
2_9_10,,"39.921559, 32.862322",2504/22,"Çaldıran Sok., No:10, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.921559,32.862322,KÜLTÜR,2
2_9_11,,"39.921414, 32.862304",2504/20,"Çaldıran Sok., No:12, Kültür Mah., Çankaya, Ankara",Konut,4.0,Değil,,,,,,39.921414,32.862304,KÜLTÜR,2
2_9_12,,"39.921303, 32.862278",2504-12-01 00:00:00,"Çaldıran Sok., No:14B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.921303,32.862278,KÜLTÜR,2
2_9_13,Özel Arina Kız Öğrenci Yurdu,"39.921075, 32.862385",2504-01-01 00:00:00,"Çaldıran Sok., No:16, Kültür Mah., Çankaya, Ankara",Yurt,7.0,Değil,,,,,,39.921075,32.862385,KÜLTÜR,2
2_9_14,,,2504-02-01 00:00:00,"Yüksel Cad., 45/1 Çankaya, Ankara, Türkiye",Konut + Ticaret,8.0,Değil,,,,,,,,FİDANLIK,2
2_9_15,,"39.921808, 32.861658",2745/14,"Sağlık 2 Sok., No:77, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921808,32.861658,KÜLTÜR,2
2_9_16,,"39.921939, 32.861478",2745/15,"Sağlık 2 Sok., No:75, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.921939,32.861478,KÜLTÜR,2
2_9_17,,"39.922174, 32.861586",2745-05-01 00:00:00,"Sağlık 2 Sok., No:75C, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.922174,32.861586,KÜLTÜR,2
2_9_18,,"39.922271, 32.861514",2745-12-01 00:00:00,"Sağlık 2 Sok., No:71, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922271,32.861514,KÜLTÜR,2
2_9_19,,"39.922472, 32.861370",2745/13,"Sağlık 2 Sok., No:69, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.922472,32.86137,KÜLTÜR,2
2_9_20,,"39.922548, 32.861244",2745-07-01 00:00:00,"Sağlık 2 Sok., No:67, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.922548,32.861244,KÜLTÜR,2
2_9_21,,"39.922760, 32.861252",2745-08-01 00:00:00,"Sağlık 2 Sok., No:65, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92276,32.861252,KÜLTÜR,2
2_9_22,,"39.922914, 32.861218",2745-09-01 00:00:00,"Sağlık 2 Sok., No:63B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.922914,32.861218,KÜLTÜR,2
2_9_23,,"39.921898, 32.861828",2745-03-01 00:00:00,"Cemre Sok., No:12, Kültür Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,39.921898,32.861828,KÜLTÜR,2
2_9_24,,"39.921967, 32.862116",2745-02-01 00:00:00,"Cemre Sok., No:10, Kültür Mah., Çankaya, Ankara",Yurt,6.0,Değil,,,,,,39.921967,32.862116,KÜLTÜR,2
2_9_25,,"39.922050, 32.862376",2745-01-01 00:00:00,"Cemre Sok., No:8, Kültür Mah., Çankaya, Ankara",Trafo,1.0,Değil,,,,,,39.92205,32.862376,KÜLTÜR,2
2_9_26,TED Üniversitesi K Blok,"39.922513, 32.862134",2745/16,"Ziya Gökalp Cad., No:48C, Çankaya, Ankara",Eğitim,3.0,,,,Üniversiteye dönüştürüldü.,,,39.922513,32.862134,FİDANLIK,2
2_9_27,TED Üniversitesi B Blok,"39.922569, 32.861748",2745/16,"Ziya Gökalp Cad., No:48B, Çankaya, Ankara",Eğitim,5.0,,,,Üniversiteye dönüştürüldü.,,,39.922569,32.861748,FİDANLIK,2
2_9_28,TED Üniversitesi A Blok,"39.922956, 32.861783",2745/16,"Ziya Gökalp Cad., No:48A, Çankaya, Ankara",Eğitim,5.0,,,,Üniversiteye dönüştürüldü.,,,39.922956,32.861783,FİDANLIK,2
2_9_29,TED Üniversitesi Rektörlük Binası,"39.923260, 32.861712",2745/16,"Ziya Gökalp Cad., No:48D, Çankaya, Ankara",Eğitim,2.0,,,,Üniversiteye dönüştürüldü.,,,39.92326,32.861712,FİDANLIK,2
2_10_1,,"39.919311, 32.860939",1077/32,"Meşrutiyet Cad., No:41G, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.919311,32.860939,KÜLTÜR,2
2_10_2,,"39.919311, 32.860607",1077/33,"Doktor Mediha Eldem Sok., No:55, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.919311,32.860607,KÜLTÜR,2
2_10_3,,"39.919532, 32.860643",1077/34,"Doktor Mediha Eldem Sok., No:53B, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.919532,32.860643,KÜLTÜR,2
2_10_4,,"39.919670, 32.860580",1077/35,"Doktor Mediha Eldem Sok., No:51, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.91967,32.86058,KÜLTÜR,2
2_10_5,,"39.919836, 32.860562",1077/36,"Doktor Mediha Eldem Sok., No:49A, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.919836,32.860562,KÜLTÜR,2
2_10_6,,"39.919850, 32.860310",1077/37,"Doktor Mediha Eldem Sok., No:47A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.91985,32.86031,KÜLTÜR,2
2_10_7,,"39.920072, 32.860193",1077/38,"Doktor Mediha Eldem Sok., No:45, Kültür Mah., Çankaya, Ankara",Konut,9.0,Değil,,,,,,39.920072,32.860193,KÜLTÜR,2
2_10_8,,"39.920348, 32.860157",1077/23,"Yüksel Cad., No:32, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.920348,32.860157,FİDANLIK,2
2_10_9,,"39.920411, 32.860409",1077/24,"Yüksel Cad., No:34B, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920411,32.860409,FİDANLIK,2
2_10_10,,"39.920473, 32.860705",1077/25,"Yüksel Cad., No:36, Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.920473,32.860705,FİDANLIK,2
2_10_11,,"39.920272, 32.860885",1077/26,"Ataç 2 Sok., No:64A, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.920272,32.860885,KÜLTÜR,2
2_10_12,,"39.920051, 32.860975",1077/27,"Ataç 2 Sok., No:66, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.920051,32.860975,KÜLTÜR,2
2_10_13,,"39.919871, 32.861056",1077/28,"Ataç 2 Sok., No:68, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.919871,32.861056,KÜLTÜR,2
2_10_14,,"39.919670, 32.861137",1077/29,"Ataç 2 Sok., No:70, Kültür Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,39.91967,32.861137,KÜLTÜR,2
2_10_15,,"39.919491, 32.861128",1077/30,"Ataç 2 Sok., No:78, Kültür Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.919491,32.861128,KÜLTÜR,2
2_10_16,,"39.919255, 32.861110",1077/31,"Meşrutiyet Cad., No:43C, Çankaya, Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.919255,32.86111,KÜLTÜR,2
2_11_1,,"39.919297, 32.861891",2556/25,"Meşrutiyet Cad., No:45C, Çankaya, Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.919297,32.861891,KÜLTÜR,2
2_11_2,,"39.919546, 32.861442",2556-02-01 00:00:00,"Ataç 2 Sok., No:71A, Kültür Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,39.919546,32.861442,KÜLTÜR,2
